"Taxon","Genus","Hybrid.marker","Species","Abbrev","Infraspecific.rank","Infraspecific","Authority","ID","Plant.Name.Index","TPL.version","Taxonomic.status","Family","New.Genus","New.Hybrid.marker","New.Species","New.Infraspecific.rank","New.Infraspecific","New.Authority","New.ID","New.Taxonomic.status","Typo","WFormat","Higher.level","Date","Tax_res"
"Olea europaea","Olea","","europaea",NA,NA,"","","kew-355112",TRUE,"1.1","Accepted","Oleaceae","Olea","","europaea","","","L.","kew-355112","Accepted",FALSE,FALSE,FALSE,2020-06-19,"Species"
"Solanum melongena","Solanum","","melongena",NA,NA,"","","tro-29600121",TRUE,"1.1","Accepted","Solanaceae","Solanum","","melongena","","","L.","tro-29600121","Accepted",FALSE,FALSE,FALSE,2020-06-19,"Species"
"Solanum tuberosum","Solanum","","tuberosum",NA,NA,"","","tro-29600334",TRUE,"1.1","Accepted","Solanaceae","Solanum","","tuberosum","","","L.","tro-29600334","Accepted",FALSE,FALSE,FALSE,2020-06-19,"Species"
"Solanum lycopersicum","Solanum","","lycopersicum",NA,NA,"","","tro-29605838",TRUE,"1.1","Accepted","Solanaceae","Solanum","","lycopersicum","","","L.","tro-29605838","Accepted",FALSE,FALSE,FALSE,2020-06-19,"Species"
"Capsicum annuum","Capsicum","","annuum",NA,NA,"","","kew-2698415",TRUE,"1.1","Accepted","Solanaceae","Capsicum","","annuum","","","L.","kew-2698415","Accepted",FALSE,FALSE,FALSE,2020-06-19,"Species"
"Nicotiana tabacum","Nicotiana","","tabacum",NA,NA,"","","kew-2382275",TRUE,"1.1","Accepted","Solanaceae","Nicotiana","","tabacum","","","L.","kew-2382275","Accepted",FALSE,FALSE,FALSE,2020-06-19,"Species"
"Ipomoea batatas","Ipomoea","","batatas",NA,NA,"","","tro-8500721",TRUE,"1.1","Accepted","Convolvulaceae","Ipomoea","","batatas","","","(L.) Lam.","tro-8500721","Accepted",FALSE,FALSE,FALSE,2020-06-19,"Species"
"Helianthus annuus","Helianthus","","annuus",NA,NA,"","","gcc-44475",TRUE,"1.1","Accepted","Compositae","Helianthus","","annuus","","","L.","gcc-44475","Accepted",FALSE,FALSE,FALSE,2020-06-19,"Species"
"Bellis perennis","Bellis","","perennis",NA,NA,"","","gcc-29324",TRUE,"1.1","Accepted","Compositae","Bellis","","perennis","","","L.","gcc-29324","Accepted",FALSE,FALSE,FALSE,2020-06-19,"Species"
"Daucus carota","Daucus","","carota",NA,NA,"","","kew-2757936",TRUE,"1.1","Accepted","Apiaceae","Daucus","","carota","","","L.","kew-2757936","Accepted",FALSE,FALSE,FALSE,2020-06-19,"Species"
"Actinidia deliciosa","Actinidia","","deliciosa",NA,NA,"","","kew-2620664",TRUE,"1.1","Accepted","Actinidiaceae","Actinidia","","deliciosa","","","(A.Chev.) C.F.Liang & A.R.Ferguson","kew-2620664","Accepted",FALSE,FALSE,FALSE,2020-06-19,"Species"
"Carnegiea gigantea","Carnegiea","","gigantea",NA,NA,"","","kew-2701125",TRUE,"1.1","Accepted","Cactaceae","Carnegiea","","gigantea","","","(Engelm.) Britton & Rose","kew-2701125","Accepted",FALSE,FALSE,FALSE,2020-06-19,"Species"
"Trifolium sp","Trifolium","","sp",NA,NA,"","","",FALSE,"1.1","","","Trifolium","","sp",NA,"","","","",FALSE,FALSE,FALSE,2020-06-19,"Genus"
"Arachis hypogaea","Arachis","","hypogaea",NA,NA,"","","ild-2050",TRUE,"1.1","Accepted","Leguminosae","Arachis","","hypogaea","","","L.","ild-2050","Accepted",FALSE,FALSE,FALSE,2020-06-19,"Species"
"Malus domestica","Malus","","domestica",NA,NA,"","","rjp-454",TRUE,"1.1","Accepted","Rosaceae","Malus","","domestica","","","Borkh.","rjp-454","Accepted",FALSE,FALSE,FALSE,2020-06-19,"Species"
"Pyrus communis","Pyrus","","communis",NA,NA,"","","rjp-63",TRUE,"1.1","Accepted","Rosaceae","Pyrus","","communis","","","L.","rjp-63","Accepted",FALSE,FALSE,FALSE,2020-06-19,"Species"
"Prunus avium","Prunus","","avium",NA,NA,"","","rjp-383",TRUE,"1.1","Accepted","Rosaceae","Prunus","","avium","","","(L.) L.","rjp-383","Accepted",FALSE,FALSE,FALSE,2020-06-19,"Species"
"Prunus xyedoensis","Prunus","","xyedoensis",NA,NA,"","","tro-27805366",TRUE,"1.1","Synonym","Rosaceae","Cerasus","","yedoensis","","","(Matsum.) A.N.Vassiljeva","rjp-34057","Unresolved",TRUE,FALSE,FALSE,2020-06-19,"Species"
"Prunus persica","Prunus","","persica",NA,NA,"","","rjp-376",TRUE,"1.1","Accepted","Rosaceae","Prunus","","persica","","","(L.) Batsch","rjp-376","Accepted",FALSE,FALSE,FALSE,2020-06-19,"Species"
"Fragaria vesca","Fragaria","","vesca",NA,NA,"","","rjp-23",TRUE,"1.1","Accepted","Rosaceae","Fragaria","","vesca","","","L.","rjp-23","Accepted",FALSE,FALSE,FALSE,2020-06-19,"Species"
"Rosa sp","Rosa","","sp",NA,NA,"","","",FALSE,"1.1","","","Rosa","","sp",NA,"","","","",FALSE,FALSE,FALSE,2020-06-19,"Genus"
"Castanea dentata","Castanea","","dentata",NA,NA,"","","kew-34965",TRUE,"1.1","Accepted","Fagaceae","Castanea","","dentata","","","(Marshall) Borkh.","kew-34965","Accepted",FALSE,FALSE,FALSE,2020-06-19,"Species"
"Citrullus lanatus","Citrullus","","lanatus",NA,NA,"","","kew-2723908",TRUE,"1.1","Accepted","Cucurbitaceae","Citrullus","","lanatus","","","(Thunb.) Matsum. & Nakai","kew-2723908","Accepted",FALSE,FALSE,FALSE,2020-06-19,"Species"
"Cucumis melo","Cucumis","","melo",NA,NA,"","","kew-2746992",TRUE,"1.1","Accepted","Cucurbitaceae","Cucumis","","melo","","","L.","kew-2746992","Accepted",FALSE,FALSE,FALSE,2020-06-19,"Species"
"Cucumis sativus","Cucumis","","sativus",NA,NA,"","","kew-2747062",TRUE,"1.1","Accepted","Cucurbitaceae","Cucumis","","sativus","","","L.","kew-2747062","Accepted",FALSE,FALSE,FALSE,2020-06-19,"Species"
"Cucurbita maxima","Cucurbita","","maxima",NA,NA,"","","kew-2747160",TRUE,"1.1","Accepted","Cucurbitaceae","Cucurbita","","maxima","","","Duchesne","kew-2747160","Accepted",FALSE,FALSE,FALSE,2020-06-19,"Species"
"Citrus reticulata","Citrus","","reticulata",NA,NA,"","","kew-2724336",TRUE,"1.1","Accepted","Rutaceae","Citrus","","reticulata","","","Blanco","kew-2724336","Accepted",FALSE,FALSE,FALSE,2020-06-19,"Species"
"Citrus limon","Citrus","","limon",NA,NA,"","","tro-28101295",TRUE,"1.1","Accepted","Rutaceae","Citrus","","limon","","","(L.) Osbeck","tro-28101295","Accepted",FALSE,FALSE,FALSE,2020-06-19,"Species"
"Acer sp","Acer","","sp",NA,NA,"","","",FALSE,"1.1","","","Acer","","sp",NA,"","","","",FALSE,FALSE,FALSE,2020-06-19,"Genus"
"Hibiscus rosa-sinensis","Hibiscus","","rosa-sinensis",NA,NA,"","","kew-2850448",TRUE,"1.1","Accepted","Malvaceae","Hibiscus","","rosa-sinensis","","","L.","kew-2850448","Accepted",FALSE,FALSE,FALSE,2020-06-19,"Species"
"Theobroma cacao","Theobroma","","cacao",NA,NA,"","","kew-2519807",TRUE,"1.1","Accepted","Malvaceae","Theobroma","","cacao","","","L.","kew-2519807","Accepted",FALSE,FALSE,FALSE,2020-06-19,"Species"
"Vitis vinifera","Vitis","","vinifera",NA,NA,"","","kew-2457006",TRUE,"1.1","Accepted","Vitaceae","Vitis","","vinifera","","","L.","kew-2457006","Accepted",FALSE,FALSE,FALSE,2020-06-19,"Species"
"Persea americana","Persea","","americana",NA,NA,"","","kew-2529835",TRUE,"1.1","Accepted","Lauraceae","Persea","","americana","","","Mill.","kew-2529835","Accepted",FALSE,FALSE,FALSE,2020-06-19,"Species"
"Phyllostachys sp","Phyllostachys","","sp",NA,NA,"","","",FALSE,"1.1","","","Phyllostachys","","sp",NA,"","","","",FALSE,FALSE,FALSE,2020-06-19,"Genus"
"Zea mays","Zea","","mays",NA,NA,"","","kew-450362",TRUE,"1.1","Accepted","Poaceae","Zea","","mays","","","L.","kew-450362","Accepted",FALSE,FALSE,FALSE,2020-06-19,"Species"
"Oryza sativa","Oryza","","sativa",NA,NA,"","","kew-426698",TRUE,"1.1","Accepted","Poaceae","Oryza","","sativa","","","L.","kew-426698","Accepted",FALSE,FALSE,FALSE,2020-06-19,"Species"
"Ananas comosus","Ananas","","comosus",NA,NA,"","","kew-219669",TRUE,"1.1","Accepted","Bromeliaceae","Ananas","","comosus","","","(L.) Merr.","kew-219669","Accepted",FALSE,FALSE,FALSE,2020-06-19,"Species"
"Cocos nucifera","Cocos","","nucifera",NA,NA,"","","kew-44645",TRUE,"1.1","Accepted","Arecaceae","Cocos","","nucifera","","","L.","kew-44645","Accepted",FALSE,FALSE,FALSE,2020-06-19,"Species"
"Musa xparadisiaca","Musa","","xparadisiaca",NA,NA,"","","kew-254888",TRUE,"1.1","Accepted","Musaceae","Musa","Ã—","paradisiaca","","","L.","kew-254888","Accepted",TRUE,FALSE,FALSE,2020-06-19,"Species"
"Tulipa sp","Tulipa","","sp",NA,NA,"","","",FALSE,"1.1","","","Tulipa","","sp",NA,"","","","",FALSE,FALSE,FALSE,2020-06-19,"Genus"
"Pinus sp","Pinus","","sp",NA,NA,"","","",FALSE,"1.1","","","Pinus","","sp",NA,"","","","",FALSE,FALSE,FALSE,2020-06-19,"Genus"
"Marsilea sp","Marsilea","","sp",NA,NA,"","","",FALSE,"1.1","","","Marsilea","","sp",NA,"","","","",FALSE,FALSE,FALSE,2020-06-19,"Genus"
"Mickelia sp","Mickelia","","sp",NA,NA,"","","",FALSE,"1.1","","","Mickelia","","sp",NA,"","","","",FALSE,FALSE,FALSE,2020-06-19,"Genus"
